Date,Time,Energy,Efficiency,Power,Average,Normalised,Temperature,Voltage,Energy Used,Power Used,
2013/11/20,11:55PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,13.5C,243.7V,14.284kWh,480W,
2013/11/20,11:50PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,13.5C,243.1V,14.244kWh,408W,
2013/11/20,11:45PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,13.5C,242.6V,14.210kWh,432W,
2013/11/20,11:40PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,13.5C,244.1V,14.174kWh,672W,
2013/11/20,11:35PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,13.5C,244.0V,14.118kWh,696W,
2013/11/20,11:30PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,13.8C,243.8V,14.060kWh,720W,
2013/11/20,11:25PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,13.8C,243.8V,14.000kWh,"1,104W",
2013/11/20,11:20PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,13.8C,244.0V,13.908kWh,"1,056W",
2013/11/20,11:15PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,15.0C,244.1V,13.820kWh,984W,
2013/11/20,11:10PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,15.0C,244.0V,13.738kWh,"1,008W",
2013/11/20,11:05PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,15.0C,244.2V,13.654kWh,984W,
2013/11/20,11:00PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,15.0C,244.4V,13.572kWh,"1,008W",
2013/11/20,10:55PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,15.0C,244.7V,13.488kWh,"1,008W",
2013/11/20,10:50PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,15.0C,243.5V,13.404kWh,"1,008W",
2013/11/20,10:45PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,15.0C,243.1V,13.320kWh,888W,
2013/11/20,10:40PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,15.0C,242.6V,13.246kWh,936W,
2013/11/20,10:35PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,14.0C,242.8V,13.168kWh,"1,080W",
2013/11/20,10:30PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,14.0C,241.9V,13.078kWh,"1,176W",
2013/11/20,10:25PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,14.0C,242.0V,12.980kWh,"1,152W",
2013/11/20,10:20PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,14.0C,242.3V,12.884kWh,"1,200W",
2013/11/20,10:15PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,14.0C,243.4V,12.784kWh,"1,128W",
2013/11/20,10:10PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,14.0C,243.2V,12.690kWh,"1,080W",
2013/11/20,10:05PM,153.751kWh,4.638kWh/kW,0W,0W,0.000kW/kW,14.0C,243.1V,12.600kWh,"1,056W",
